last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,r_total_caught_stealing,r_total_stolen_base,b_ab_scoring,b_ball,b_called_strike,b_catcher_interf,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,
Bichette, Bo,666182,2021,23,402,436,119,81,19,1,18,89,29,20.4,6.7,.296,.483,.349,.831,0,15,107,504,188,0,.287,.486,.358,.359,.340,.199,.424,.426,91,5,33.1,10.5,
Carlson, Dylan,666185,2021,23,372,426,95,60,21,3,11,104,42,24.4,9.9,.255,.417,.338,.755,0,0,101,626,327,0,.249,.413,.328,.329,.334,.164,.389,.389,88.8,14.7,41.4,8.1,
Garcia, Adolis,666969,2021,28,350,375,89,54,11,2,22,113,19,30.1,5.1,.254,.486,.299,.784,4,8,101,436,210,0,.231,.449,.333,.317,.280,.217,.456,.430,91.6,14.2,31.4,13.8,
Gurriel Jr., Lourdes,666971,2021,28,325,347,85,56,18,0,11,69,14,19.9,4.0,.262,.418,.291,.710,2,1,80,400,217,0,.248,.396,.303,.297,.282,.149,.360,.352,88.2,10.3,32.1,7.6,
Arozarena, Randy,668227,2021,26,361,406,93,60,19,1,13,110,36,27.1,8.9,.258,.424,.335,.759,7,11,90,577,289,0,.208,.345,.329,.285,.292,.137,.413,.343,90.6,9.2,26.5,7.5,
Reynolds, Bryan,668804,2021,26,366,416,113,71,24,0,18,84,45,20.2,10.8,.309,.522,.389,.911,2,3,118,567,198,0,.293,.527,.390,.388,.376,.234,.456,.454,89.4,13.5,38.2,11,
Rojas, Josh,668942,2021,27,317,366,85,52,22,1,10,91,44,24.9,12.0,.268,.438,.352,.791,3,7,89,576,299,4,.230,.371,.347,.311,.324,.140,.419,.361,88.4,8.2,41,6.6,
Murphy, Sean,669221,2021,27,285,325,62,31,18,0,13,82,26,25.2,8.0,.218,.418,.305,.722,0,0,72,373,203,0,.226,.439,.314,.331,.315,.213,.369,.396,88.7,16.9,31.6,13.1,
Edman, Tommy,669242,2021,26,402,430,103,71,23,3,6,56,23,13.0,5.3,.256,.373,.300,.673,4,17,66,530,301,0,.266,.390,.294,.311,.311,.124,.312,.332,87,7.6,29.3,4,
Solak, Nick,669256,2021,26,334,371,75,52,12,2,9,87,21,23.5,5.7,.225,.353,.294,.647,3,4,95,458,273,0,.232,.360,.287,.296,.301,.128,.330,.344,87.5,8.6,32.4,7.6,
Alvarez, Yordan,670541,2021,24,328,367,93,56,17,1,19,99,29,27.0,7.9,.284,.515,.351,.867,0,1,120,509,299,0,.270,.516,.368,.371,.344,.247,.477,.481,92.4,12.4,36.6,14.7,
Vaughn, Andrew,683734,2021,23,289,321,75,42,22,0,11,74,22,23.1,6.9,.260,.450,.318,.768,1,1,77,361,225,0,.246,.439,.329,.332,.312,.193,.394,.399,91.4,9.7,35,10.5,
